,Date,Account,Debit,Credit,Type
287,5/7/2022,CC  BofA,200.00,,Self Care
288,5/7/2022,CC  BofA,108.00,,Personal
289,5/7/2022,CC  BofA,32.18,,Hobby
290,5/7/2022,CC  BofA,29.98,,Travel
291,5/7/2022,CC  BofA,69.25,,Pet
292,5/7/2022,CC  BofA,123.04,,Food
293,5/7/2022,CC  CareCred,319.61,,Shopping
294,5/9/2022,CC  BofA,102.57,,Pet
295,5/9/2022,CC  BofA,83.64,,Shopping
296,5/9/2022,CC  BofA,200.21,,Mom
297,5/9/2022,CC  BofA,10.58,,Food
298,5/9/2022,CC  BofA,273.50,,Shopping
299,5/10/2022,CHK,,2500.00,Mom
300,5/10/2022,CHK,,20.00,Taxes
301,5/10/2022,CHK,143.57,,Utility
302,5/10/2022,CC  BofA,81.00,,Medical
303,5/10/2022,CC  BofA,183.00,,Medical
304,5/10/2022,CC  BofA,15.00,,Transportation
305,5/10/2022,CC  BofA,35.00,,Medical
306,5/10/2022,CC  BofA,5.00,,Miscellaneous
307,5/10/2022,CC  BofA,3.70,,Miscellaneous
308,5/10/2022,CC  BofA,16.95,,Transportation
309,5/11/2022,CHK,13.00,,Entertainment
310,5/12/2022,CC  BofA,23.14,,Shopping
311,5/13/2022,CC  BofA,16.99,,Transportation
312,5/13/2022,CC  BofA,35.00,,Medical
313,5/13/2022,CC  BofA,12.74,,Work
314,5/16/2022,CC  BofA,5.52,,Gift
315,5/17/2022,CHK,40.62,,Utility
316,5/17/2022,CC  BofA,42.45,,Food
317,5/18/2022,CC  BofA,17.40,,Transportation
318,5/19/2022,CC  BofA,566.70,,Travel
319,5/19/2022,CC  BofA,14.36,,Food
320,5/19/2022,CC  BofA,4.44,,Transportation
321,5/20/2022,CHK,,567.00,Travel
322,5/20/2022,CC  BofA,35.00,,Medical
323,5/23/2022,CC  BofA,36.28,,Food
324,5/23/2022,CC  BofA,99.37,,Utility
325,5/23/2022,CC  BofA,55.00,,Gym
326,5/23/2022,CC  BofA,12.75,,Food
327,5/24/2022,CC  BofA,5.36,,Food
328,5/25/2022,CC  BofA,175.00,,Gym
329,5/26/2022,CHK,,453.74,Work
330,5/26/2022,CC  CareCred,305.00,,Medical
331,5/27/2022,CHK,50.00,,Work
332,5/27/2022,CC  BofA,35.00,,Medical
333,5/27/2022,CC  BofA,5.70,,Food
334,5/28/2022,CC  BofA,18.31,,Food
335,5/30/2022,CC  BofA,16.08,,Hobby
336,5/30/2022,CC  BofA,21.99,,Transportation
337,6/1/2022,CHK,1760.51,,Rent
338,6/2/2022,CC  BofA,14.34,,Food
339,6/2/2022,CC  BofA,49.95,,Insurance
340,6/2/2022,CC  BofA,41.87,,Food
341,6/3/2022,CC  BofA,126.16,,Pet
342,6/3/2022,CC  CareCred,250.00,,Self Care
343,6/4/2022,CC  BofA,17.32,,Entertainment
344,6/4/2022,CC  BofA,184.68,,Entertainment
345,6/4/2022,CC  BofA,36.20,,Food
346,6/5/2022,CC  BofA,50.73,,Food
347,6/5/2022,CC  BofA,10.70,,Food
348,6/5/2022,CC  BofA,23.28,,Entertainment
349,6/6/2022,CC  BofA,,49.95,Insurance
350,6/7/2022,CHK,25.00,,Entertainment
351,6/8/2022,CHK,143.57,,Utility
352,6/8/2022,CC  BofA,15.53,,Food
353,6/9/2022,CHK,,143.57,Utility
354,6/9/2022,CC  BofA,3.77,,Household
355,6/9/2022,CC  BofA,7.01,,Household
356,6/9/2022,CC  BofA,35.00,,Medical
357,6/10/2022,CC  BofA,257.74,,Medical
358,6/10/2022,CC  BofA,4.90,,Gas & Fuel
359,6/10/2022,CC  BofA,96.49,,Entertainment
360,6/11/2022,CC  BofA,27.95,,Food
361,6/11/2022,CC  BofA,6.56,,Transportation
362,6/11/2022,CC  BofA,53.61,,Miscellaneous
363,6/12/2022,CC  BofA,23.22,,Household
364,6/13/2022,CC  BofA,10.00,,Personal
365,6/13/2022,CC  BofA,35.00,,Medical
366,6/14/2022,CC  BofA,23.14,,Shopping
367,6/15/2022,CC  BofA,45.90,,Gift
368,6/17/2022,CC  BofA,37.44,,Personal
369,6/17/2022,CC  BofA,26.74,,Personal
370,6/17/2022,CC  BofA,223.39,,Pet
371,6/17/2022,CC  BofA,107.25,,Personal
372,6/17/2022,CC  BofA,685.20,,Self Care
373,6/17/2022,CC  BofA,17.56,,Food
374,6/18/2022,CC  BofA,19.94,,Entertainment
