Date,Account,Debit,Credit,Category,Month,Year
2021-05-21,CC - BofA,41.77,0.0,Entertainment,5,2021
2021-05-22,CC - BofA,36.29,0.0,Food,5,2021
2021-05-24,CHK,50.0,0.0,Gas & Fuel,5,2021
2021-05-24,CC - BofA,8.54,0.0,Food,5,2021
2021-05-24,CC - BofA,6.0,0.0,Transportation,5,2021
2021-05-24,CC - BofA,60.02,0.0,Shopping,5,2021
2021-05-24,CC - BofA,37.73,0.0,Gas & Fuel,5,2021
2021-05-24,CC - BofA,53.48,0.0,Gas & Fuel,5,2021
2021-05-24,CC - BofA,38.52,0.0,Food,5,2021
2021-05-24,CC - BofA,8.32,0.0,Shopping,5,2021
2021-05-25,CHK,176.96,0.0,Utility,5,2021
2021-05-25,CC - BofA,26.44,0.0,Entertainment,5,2021
2021-05-27,CC - BofA,21.92,0.0,Entertainment,5,2021
2021-05-27,CC - BofA,164.77,0.0,Insurance,5,2021
2021-05-27,CC - BofA,10.0,0.0,Insurance,5,2021
2021-05-28,CC - BofA,10.55,0.0,Entertainment,5,2021
2021-05-29,CC - BofA,0.0,164.77,Insurance,5,2021
2021-05-29,CC - BofA,50.0,0.0,Donation,5,2021
2021-05-29,CC - BofA,19.26,0.0,Food,5,2021
2021-05-29,CC - BofA,33.88,0.0,Food,5,2021
2021-05-29,CC - BofA,0.0,10.0,Insurance,5,2021
2021-05-29,CC - BofA,19.1,0.0,Food,5,2021
2021-05-29,CC - BofA,102.5,0.0,Self Care,5,2021
2021-05-29,CC - BofA,68.03,0.0,Food,5,2021
2021-05-31,CC - BofA,2.98,0.0,Entertainment,5,2021
2021-05-31,CC - BofA,7.8,0.0,Entertainment,5,2021
2021-05-31,CC - BofA,38.68,0.0,Shopping,5,2021
2021-06-01,CHK,0.0,521.88,Rent,6,2021
2021-06-01,CC - BofA,26.73,0.0,Entertainment,6,2021
2021-06-01,CC - BofA,41.0,0.0,Entertainment,6,2021
2021-06-02,CHK,0.0,75.6,Entertainment,6,2021
2021-06-02,CHK,1087.51,0.0,Rent,6,2021
2021-06-02,CC - BofA,49.95,0.0,Insurance,6,2021
2021-06-03,CC - BofA,80.09,0.0,Pet,6,2021
2021-06-04,CHK,20.0,0.0,Gift,6,2021
2021-06-04,CC - BofA,16.08,0.0,Hobby,6,2021
2021-06-07,CHK,0.0,45.0,Entertainment,6,2021
2021-06-07,CC - BofA,15.26,0.0,Entertainment,6,2021
2021-06-07,CC - BofA,16.4,0.0,Entertainment,6,2021
2021-06-08,CC - BofA,0.0,4.16,Shopping,6,2021
2021-06-09,CHK,132.82,0.0,Utility,6,2021
2021-06-09,CC - CareCred,310.0,0.0,Pet,6,2021
2021-06-11,CHK,103.0,0.0,Entertainment,6,2021
2021-06-11,CHK,2.5,0.0,Fee,6,2021
2021-06-11,CC - BofA,32.31,0.0,Pet,6,2021
2021-06-11,CC - BofA,58.17,0.0,Gas & Fuel,6,2021
2021-06-12,CC - BofA,39.67,0.0,Shopping,6,2021
2021-06-14,CC - BofA,180.0,0.0,Medical,6,2021
2021-06-17,CHK,0.0,500.0,Transfer,6,2021
2021-06-19,CC - BofA,10.84,0.0,Entertainment,6,2021
2021-06-19,CC - BofA,70.09,0.0,Food,6,2021
2021-06-21,CHK,0.0,50.0,Entertainment,6,2021
2021-06-21,CHK,0.0,50.0,Entertainment,6,2021
2021-06-21,CC - BofA,58.65,0.0,Pet,6,2021
2021-06-22,CC - BofA,35.26,0.0,Shopping,6,2021
2021-06-22,CC - BofA,50.0,0.0,Medical,6,2021
2021-06-23,CHK,96.95,0.0,Utility,6,2021
2021-06-25,CHK,15.0,0.0,Donation,6,2021
2021-06-28,CC - BofA,32.45,0.0,Entertainment,6,2021
2021-06-28,CC - BofA,2.92,0.0,Transportation,6,2021
2021-06-29,CC - BofA,43.16,0.0,Food,6,2021
2021-07-02,CHK,0.0,521.88,Rent,7,2021
2021-07-02,CHK,1082.83,0.0,Rent,7,2021
2021-07-02,CC - BofA,49.95,0.0,Insurance,7,2021
2021-07-03,CC - BofA,63.28,0.0,Gas & Fuel,7,2021
2021-07-03,CC - AMEX,1.06,0.0,Hobby,7,2021
2021-07-03,CC - AMEX,10.69,0.0,Hobby,7,2021
2021-07-05,CC - BofA,16.08,0.0,Hobby,7,2021
2021-07-05,CC - BofA,24.14,0.0,Food,7,2021
2021-07-05,CC - BofA,98.4,0.0,Self Care,7,2021
2021-07-07,CC - BofA,6.43,0.0,Entertainment,7,2021
2021-07-08,CHK,132.82,0.0,Utility,7,2021
