,Date,Account,Debit,Credit,Type
507,11/1/2021,CC - BofA,197.60,,Entertainment
508,11/1/2021,CC - BofA,43.93,,Transportation
509,11/1/2021,CC - BofA,1.00,,Transportation
510,11/1/2021,CC - BofA,10.39,,Transportation
511,11/1/2021,CC - BofA,13.94,,Transportation
512,11/2/2021,CC - BofA,49.95,,Insurance
513,11/2/2021,CC - BofA,30.14,,Entertainment
514,11/2/2021,CC - BofA,18.03,,Transportation
515,11/2/2021,CC - BofA,5.00,,Transportation
516,11/2/2021,CC - BofA,20.00,,Gas & Fuel
517,11/3/2021,CC - BofA,19.30,,Food
518,11/3/2021,CC - BofA,19.96,,Transportation
519,11/5/2021,CHK,100.00,,Shopping
520,11/5/2021,CHK,100.00,,Utility
521,11/5/2021,CC - BofA,96.51,,Shopping
522,11/8/2021,CC - BofA,71.15,,Shopping
523,11/8/2021,CC - BofA,58.25,,Food
524,11/8/2021,CC - BofA,62.47,,Entertainment
525,11/8/2021,CC - BofA,17.26,,Entertainment
526,11/8/2021,CC - BofA,34.75,,Entertainment
527,11/8/2021,CC - BofA,7.53,,Entertainment
528,11/8/2021,CC - BofA,16.26,,Entertainment
529,11/8/2021,CC - BofA,12.00,,Transportation
530,11/8/2021,CC - BofA,44.76,,Gas & Fuel
531,11/9/2021,CC - BofA,67.91,,Entertainment
532,11/9/2021,CC - BofA,23.71,,Transportation
533,11/10/2021,CHK,143.72,,Utility
534,11/10/2021,CC - BofA,141.81,,Food
535,11/10/2021,CC - BofA,18.76,,Transportation
536,11/10/2021,CC - BofA,60.70,,Utility
537,11/11/2021,CC - BofA,30.60,,Shopping
538,11/11/2021,CC - BofA,10.69,,Hobby
539,11/11/2021,CC - BofA,98.40,,Self Care
540,11/12/2021,CC - BofA,76.44,,Pet
541,11/15/2021,CC - BofA,12.00,,Entertainment
542,11/15/2021,CC - BofA,4.32,,Entertainment
543,11/16/2021,CC - BofA,33.46,,Technology
544,11/16/2021,CC - BofA,19.49,,Entertainment
545,11/17/2021,CC - BofA,30.60,,Shopping
546,11/17/2021,CC - BofA,1.50,,Travel
547,11/17/2021,CC - BofA,18.69,,Food
548,11/18/2021,CC - BofA,7.42,,Food
